script,tok,len,romanised
Bengali,গ্লোবাল,3321,global
Bengali,টেক,3200,tek
Bengali,ইন্টারন্যাশনাল,3117,intarnyasnal
Bengali,কনস্ট্রাকশনস,2785,knstraksns
Bengali,ইন্ডাস্ট্রিজ,2722,indastrij
Bengali,ট্রেডিং,2693,tredim
Bengali,টেকনোলজিস,2689,teknoljis
Bengali,সলিউশনস,2688,sliusns
Bengali,এন্টারপ্রাইজেস,2673,entarpraijes
Bengali,ফুডস,2627,phuds
Bengali,ইঞ্জিনিয়ারিং,2600,injiniy'arim
Bengali,জয়,2379,jy'
Devanagari,टेक,28323,tek
Devanagari,इंटरनेशनल,28034,imtrnesnl
Devanagari,ग्लोबल,28030,globl
Devanagari,टेक्नोलॉजीज,23743,teknolojij
Devanagari,इंडस्ट्रीज,23708,imdstrij
Devanagari,कंस्ट्रक्शंस,23563,kmstrksms
Devanagari,एंटरप्राइजेज,23559,emtrpraijej
Devanagari,इंजीनियरिंग,23545,imjiniyrimg
Devanagari,सॉल्यूशंस,23299,solyusms
Devanagari,फूड्स,23267,phuds
Devanagari,ट्रेडिंग,23072,tredimg
Devanagari,जय,20932,jy
Gujarati,ટેક,3384,tek
Gujarati,ગ્લોબલ,3152,globl
Gujarati,ઇન્ટરનેશનલ,3028,intrnesnl
Gujarati,ટ્રેડિંગ,2850,tredimg
Gujarati,ફૂડ્સ,2748,phuds
Gujarati,ઇન્ડસ્ટ્રીઝ,2730,indstrijh
Gujarati,એન્ટરપ્રાઇઝિસ,2620,entrpraijhis
Gujarati,ટેક્નોલોજીસ,2620,teknolojis
Gujarati,કન્સ્ટ્રક્શન્સ,2618,knstrksns
Gujarati,સોલ્યુશન્સ,2571,solyusns
Gujarati,એન્જિનિયરિંગ,2481,enjiniyrimg
Gujarati,લક્ષ્મી,2344,lksmi
Gurmukhi,ਇੰਟਰਨੈਸ਼ਨਲ,769,imtrnais'nl
Gurmukhi,ਟੈਕ,751,taik
Gurmukhi,ਗਲੋਬਲ,731,globl
Gurmukhi,ਟ੍ਰੇਡਿੰਗ,655,tredimg
Gurmukhi,ਐਂਟਰਪ੍ਰਾਈਜ਼ਿਜ਼,647,aimtrpraij'ij'
Gurmukhi,ਫੂਡਜ਼,631,phudj'
Gurmukhi,ਸੋਲਿਊਸ਼ਨਜ਼,617,solius'nj'
Gurmukhi,ਇੰਡਸਟ੍ਰੀਜ਼,600,imdstrij'
Gurmukhi,ਇੰਜੀਨੀਅਰਿੰਗ,597,imjiniarimg
Gurmukhi,ਪ੍ਰੋਜੈਕਟਸ,574,projaikts
Gurmukhi,ਟੈਕਨਾਲੋਜੀਜ਼,561,taiknalojij'
Gurmukhi,ਕੰਸਟ੍ਰਕਸ਼ਨਜ਼,556,kmstrks'nj'
Kannada,ಟೆಕ್,4028,tek
Kannada,ಗ್ಲೋಬಲ್,3892,globl
Kannada,ಇಂಟರ್ನ್ಯಾಷನಲ್,3814,imtrnyasnl
Kannada,ಫುಡ್ಸ್,3403,phuds
Kannada,ಟೆಕ್ನಾಲಜೀಸ್,3360,teknaljis
Kannada,ಎಂಟರ್ಪ್ರೈಸಸ್,3343,emtrpraiss
Kannada,ಸೊಲ್ಯೂಷನ್ಸ್,3313,solyusns
Kannada,ಕನ್ಸ್ಟ್ರಕ್ಷನ್ಸ್,3309,knstrksns
Kannada,ಇಂಜಿನಿಯರಿಂಗ್,3300,imjiniyrimg
Kannada,ಇಂಡಸ್ಟ್ರೀಸ್,3297,imdstris
